Titles,Keywords,Abstract
"A review of literature on evaluating the scientific, social and political impact of social sciences and humanities research","scientific, social, political, impacts, Social Sciences and Humanities","Recently, the need to contribute to the evaluation of the scientific, social, and political impact of Social Sciences and Humanities (SSH) research has become a demand of policy makers and society. The international scientific community has made significant advances that have transformed the impact of evaluation landscape. This article reviews the existing scientific knowledge on evaluation tools and techniques that are applied to assess the scientific impact of SSH research; the changing structure of social and political impacts of SSH research is investigated based on an overarching research question: to what extent do scholars attempt to apply methods, instruments, and approaches that take into account the distinctive features of SSH? The review also includes examples of European Union (EU) projects that demonstrate these impacts. This article culminates in a discussion of the development of the assessment of different impacts and identifies limitations, and areas and topics to explore in the future."
"New Evidence on Instrumental, Conceptual, and Symbolic Utilization of University Research in Government Agencies","research utilization, instrumental use, conceptual use, symbolic use, ordered logit","This article addresses three questions: What is the 
extent of instrumental, conceptual, and symbolic use of university research in government agencies? Are there differences between the policy domains in regard to the extent of each type of use? What are the determinants of instrumental, conceptual, and symbolic use of university research? Based on a survey of 833 government officials, the results suggest that (1) the three types of use of research simultaneously play a significant role in government agencies, (2) there are large differences between policy domains in regard to research utilization, and (3) a small number of determinants explain the increase of instrumental, conceptual, and symbolic utilization of research in a different way."
Benchmarking scientific output in the social sciences and humanities: The limits of existing databases,"social sciences, humanities, Thomson Scientific databases, bibliometrics ","The goal of this paper is to examine the impact 
of linguistic coverage of databases used by bibliometricians on the capacity to effectively benchmark the work of researchers in social sciences and humanities. We examine the strong link between bibliometrics and the Thomson Scientific's database and review the differences in the production and diffusion of knowledge in the social sciences and humanities (SSH) and the natural sciences and engineering (NSE). This leads to a re-examination of the debate on the coverage of these databases, more specifically in the SSH. The methods section explains how we have compared the coverage of Thomson Scientific databases in the NSE and SSH to the Ulrich extensive database of journals. Our results show that there is a 20 to 25% overrepresentation of English-language journals in Thomson Scientific's databases compared to the list of journals presented in Ulrich. This paper concludes that because of this bias, Thomson Scientific databases cannot be used in isolation to benchmark the output of countries in the SSH."
"Evaluating research
and innovation policy: a systems world needs systems evaluations","knowledge production, systemic perspective, evaluation of research and innovation, theory","In the field of R&D policy at least, reality, theory and therefore 
the needs of evaluation users seem to have moved well ahead of evaluators' conceptual apparatus. The way we think about both innovation and how knowledge is produced has moved towards a systems perspective, while much of the research and innovation evaluation tool-kit has been developed to tackle interventions at the lower levels of projects and programmes. This paper reflects on these changes and what they may mean for the scope and practice of R&D evaluation."
"The Agora model of innovation systems: 
S&T indicators for a democratic knowledge society"," industrial innovation, public research, sociopolitical subsystems, government and social actors, Agora processes","‘Mode 2’ research and the precautionary principle change innovation 
systems from the classical to the Agora model. In this model the actors in industrial innovation public research and sociopolitical subsystems tend to mix together, and the first phase of the knowledge production processes (exploration, hypothesis and controversies) becomes hybrid. The ‘Agora processes’ — foresight, technology assessment, socioeconomic impact evaluation and benchmarking, which ensure the proper interactions between industry, academia, government and social actors — thus become major aspects of the functioning of the innovation systems and a component of a democratic knowledge society. S&T indicators, as expertise input into the Agora processes, cannot make claims for truth, but have the unique capability of generating significant debates through the criticism they stir, which can make them socially robust."
"Tracing how arts and humanities research translates, circulates and consolidates in society.. How have scholars been reacting to diverse impact and public value agendas?","Arts and humanities research, co-creation,
knowledge exchange, public value, valorisation","Arts and humanities research appears to have a problem when it comes to making an argument that it matters to society. Despite widespread efforts within and beyond the field to document how arts and humanities research creates social value, these arguments have had little traction within public policy debates. The paper argues that other disciplines 
have been able to mobilise an ‘investment logic’, based on a more nuanced model of how knowledge creates value, showing how investing in small research projects drives economic growth, highlighting, for instance, the direct links between universities, spin-offs, the biotech sector and large pharmaceutical firms. If one looks at arts and humanities research through this lens, it is possible to find examples of how individual pieces of arts and humanities research are translated upwards through first-order users, through networks, to create societal improvements: it is therefore possible to meaningfully argue for arts and humanities research driving societal value creation. The paper concludes by reflecting on how arts and humanities research might apply this wider model of research valorisation to better convey its societal benefits in contemporary science policy discussions."
The Utility of the Arts and Humanities,"arts, culture, education, humanities, sciences, utility","Artists and humanists who work in universities are generally ambivalent about the idea of defending their enterprises in terms of social utility: on the one hand they do not want to claim that the Arts and Humanities are such exalted and selfjustifying endeavors that no one need bother explainingwhy such things are worth pursuing, yet on the other hand they are rightly skeptical that cost-benefit analyses of academic labor will do justice to disciplines 
devoted to the varieties of human cultural expression rather than to the research and development of patentable forms of knowledge. This essay explores this ambivalence and suggests an alternative way of thinking about the ‘utility’ of cultural work."
"Bibliometrics: Use and Abuse in the 
Review of Research Performance: Proceedings from a symposium held in Stockholm, 23-25 May 2013","expansion, bibliometrics, technology yardstick, scientific progress","Over recent decades, the strong expansion of the number 
of researchers, the even stronger growth in the number of publication outlets, and managerial expansion have put heavy pressure on the peer-review system. Bibliometrics, which have been made possible by information technology, have increasingly become the yardstick for quality, a development which has been widely criticized by researchers. Biased measuring systems seemed to replace quality judgements, and the multiplication of evaluation work is even said to hamper scientific progress. In this volume, specialists from various disciplines criticize the mechanical use of uniquely metric assessment methods, which all have inherent systemic biases, and plead for the use of multidimensional tools. This book is based on the presentations and discussions at a symposium that was arranged jointly by the Academia Europaea and the Wenner-Gren Foundations and held in Stockholm in late May 2013."
"Fit for purpose? Assessing research
quality for evidence based policy and practice","policy, research quality, UK Cabinet Office, methodological quality, conducting research","There is a growing interest in evidence-based policy and practice
(EBPP) across Europe. However, if policy makers and practitioners are to use evidence to inform policy and practice they need to feel confident about its quality. This paper introduces some of the current debates about research quality, and a number of existing sets of standards. It describes a range of different notions of quality, including methodological quality, fitness for purpose and quality in reporting. It also describes current UK initiatives designed to take forward the debate on research quality, for the benefit of both research users and those conducting research. The roundtable session will begin with presentations of ‘work in progress’ emerging from two of these new initiatives, funded by the Strategy Unit in the UK Cabinet Office and the new UK Social Care Institute for Excellence."
"Scholarship in the Digital Age: Information, Infrastructure, and the Internet","internet, intellectual property, education, higher","Today's research and scholarship is data- and information-intensive, distributed, interdisciplinary, and collaborative. However, the 
scholarly practices, products, and sources of data vary widely between disciplines. Some fields are more advantaged than others by the array of content now online and by the tools and services available to make use of that content. UCLA Professor of Information Studies Christine Borgman provides an overview of new developments in scholarly information infrastructure, including policy issues such as open access and intellectual property, and addresses the implications of e-science for cyberlearning."
